# Matter power spectrum P(k) at redshift z=500
# for k=1.0154e-05 to 1.04013 h/Mpc,
# number of wavenumbers equal to 112
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.015402036686e-05       7.110468462012e+07 
       1.278315427172e-05       3.532483998192e+07 
       1.609303775555e-05       1.754974047504e+07 
       2.025993418343e-05       8.718946602906e+06 
       2.550574598479e-05       4.331688923906e+06 
       3.210983176702e-05       2.152040395675e+06 
       4.042388317994e-05       1.069199665053e+06 
       5.089065377862e-05       5.311974337149e+05 
       6.406753726473e-05       2.639180567126e+05 
       8.065625073363e-05       1.311294284146e+05 
       1.015402036686e-04       6.515529253736e+04 
       1.278315427172e-04       3.237634864142e+04 
       1.609303775555e-04       1.609005026615e+04 
       2.025993418343e-04       7.997747542255e+03 
       2.550574598479e-04       3.976579438429e+03 
       3.210983176702e-04       1.978144800746e+03 
       4.042388317994e-04       9.847581932391e+02 
       5.089065377862e-04       4.908132973457e+02 
       6.406753726473e-04       2.450837381540e+02 
       8.065625073363e-04       1.227418652608e+02 
       1.015402036686e-03       6.175607685631e+01 
       1.278315427172e-03       3.129711481351e+01 
       1.609303775555e-03       1.603867131293e+01 
       2.025993418343e-03       8.361380202039e+00 
       2.550574598479e-03       4.472216445675e+00 
       3.210983176702e-03       2.482967407220e+00 
       4.042388317994e-03       1.452105673482e+00 
       5.089065377862e-03       9.091118620269e-01 
       6.406753726473e-03       6.179131347629e-01 
       8.065625073363e-03       4.590651767722e-01 
       1.015402036686e-02       3.708747529383e-01 
       1.278315427172e-02       3.198185502682e-01 
       1.609303775551e-02       2.857871109892e-01 
       2.025993398183e-02       2.554825004125e-01 
       2.550560099585e-02       2.210551714073e-01 
       3.209067004053e-02       1.816920014350e-01 
       3.981230609220e-02       1.457233163965e-01 
       4.624922995849e-02       1.253197454622e-01 
       5.093111095260e-02       1.149493992592e-01 
       5.480370819255e-02       1.083380546919e-01 
       5.826692814628e-02       1.033638774937e-01 
       6.149997301411e-02       9.913701353968e-02 
       6.459807627942e-02       9.520492651961e-02 
       6.761850590221e-02       9.131674608955e-02 
       7.059896101288e-02       8.733751445595e-02 
       7.356605647535e-02       8.321048088336e-02 
       7.653967724459e-02       7.893756807669e-02 
       7.953540279389e-02       7.456560085981e-02 
       8.256594595106e-02       7.017363778973e-02 
       8.564205161725e-02       6.586010345949e-02 
       8.877308201694e-02       6.172947514284e-02 
       9.196741113413e-02       5.787941782289e-02 
       9.523269820454e-02       5.438959544473e-02 
       9.857608182919e-02       5.131263441169e-02 
       1.020043203750e-01       4.866777222049e-02 
       1.055238950385e-01       4.643806236085e-02 
       1.091410863334e-01       4.456984954647e-02 
       1.128620312713e-01       4.297682618598e-02 
       1.166927662823e-01       4.154784180974e-02 
       1.206392594765e-01       4.016025737537e-02 
       1.247074349014e-01       3.869809418274e-02 
       1.289031908140e-01       3.707298852952e-02 
       1.332324135724e-01       3.524399102279e-02 
       1.377009884653e-01       3.322814058275e-02 
       1.423148086217e-01       3.110027150941e-02 
       1.470797830164e-01       2.897511221007e-02 
       1.520018445179e-01       2.697878055281e-02 
       1.570869588728e-01       2.521662328880e-02 
       1.623411354935e-01       2.374627151907e-02 
       1.677704408973e-01       2.256249933508e-02 
       1.733810156316e-01       2.159789112602e-02 
       1.791790955110e-01       2.074120357983e-02 
       1.851710379911e-01       1.986892779692e-02 
       1.913633545023e-01       1.888704551545e-02 
       1.977627495845e-01       1.776955670004e-02 
       2.043761676931e-01       1.656793334687e-02 
       2.112108486049e-01       1.538424788182e-02 
       2.182743924469e-01       1.432220099862e-02 
       2.255748355160e-01       1.344063250570e-02 
       2.331207382695e-01       1.272894524542e-02 
       2.409212871615e-01       1.211467952364e-02 
       2.489864124111e-01       1.150388901128e-02 
       2.573269243337e-01       1.083519607560e-02 
       2.659546716041e-01       1.011327178387e-02 
       2.748827257829e-01       9.399440496741e-03 
       2.841255977251e-01       8.763007159301e-03 
       2.936994931837e-01       8.229092710815e-03 
       3.036226171831e-01       7.765437208957e-03 
       3.139155397758e-01       7.314048623662e-03 
       3.246016399142e-01       6.841037843920e-03 
       3.357076498242e-01       6.362846382242e-03 
       3.472643301363e-01       5.920601642484e-03 
       3.593073171303e-01       5.533622274604e-03 
       3.718781993762e-01       5.181063253148e-03 
       3.850259042722e-01       4.832189013829e-03 
       3.988085094984e-01       4.483820357022e-03 
       4.132956467344e-01       4.156645953208e-03 
       4.285717461291e-01       3.859306031501e-03 
       4.447404989332e-01       3.577365734396e-03 
       4.619311261843e-01       3.300090520224e-03 
       4.803073955565e-01       3.035890543919e-03 
       5.000809452446e-01       2.788701385938e-03 
       5.215315896625e-01       2.549194991790e-03 
       5.450393905806e-01       2.317263083882e-03 
       5.711374647022e-01       2.094925946726e-03 
       6.006032940433e-01       1.877043945054e-03 
       6.346259864221e-01       1.663556439357e-03 
       6.751341156498e-01       1.450948024409e-03 
       7.254897481890e-01       1.236335429300e-03 
       7.920756446574e-01       1.015088950473e-03 
       8.880421841601e-01       7.830170440105e-04 
       1.040125136079e+00       5.443390274650e-04 
