#           k/h    P           
    0.99811E-05    0.44311E-04
    0.11021E-04    0.48734E-04
    0.12169E-04    0.53599E-04
    0.13437E-04    0.58949E-04
    0.14837E-04    0.64833E-04
    0.16383E-04    0.71304E-04
    0.18090E-04    0.78421E-04
    0.19974E-04    0.86249E-04
    0.22055E-04    0.94858E-04
    0.24353E-04    0.10433E-03
    0.26890E-04    0.11474E-03
    0.29692E-04    0.12619E-03
    0.32785E-04    0.13879E-03
    0.36201E-04    0.15264E-03
    0.39972E-04    0.16788E-03
    0.44137E-04    0.18463E-03
    0.48735E-04    0.20306E-03
    0.53813E-04    0.22333E-03
    0.59419E-04    0.24562E-03
    0.65610E-04    0.27014E-03
    0.72445E-04    0.29710E-03
    0.79993E-04    0.32676E-03
    0.88327E-04    0.35937E-03
    0.97529E-04    0.39525E-03
    0.10769E-03    0.43470E-03
    0.11891E-03    0.47808E-03
    0.13130E-03    0.52580E-03
    0.14498E-03    0.57828E-03
    0.16008E-03    0.63600E-03
    0.17676E-03    0.69948E-03
    0.19518E-03    0.76929E-03
    0.21551E-03    0.84607E-03
    0.23796E-03    0.93051E-03
    0.26275E-03    0.10234E-02
    0.29013E-03    0.11255E-02
    0.32036E-03    0.12378E-02
    0.35373E-03    0.13613E-02
    0.39058E-03    0.14972E-02
    0.43128E-03    0.16466E-02
    0.47621E-03    0.18108E-02
    0.52582E-03    0.19915E-02
    0.58060E-03    0.21901E-02
    0.64109E-03    0.24085E-02
    0.70789E-03    0.26486E-02
    0.78164E-03    0.29126E-02
    0.86307E-03    0.32028E-02
    0.95299E-03    0.35219E-02
    0.10523E-02    0.38725E-02
    0.11619E-02    0.42579E-02
    0.12830E-02    0.46813E-02
    0.14166E-02    0.51464E-02
    0.15642E-02    0.56573E-02
    0.17272E-02    0.62182E-02
    0.19071E-02    0.68337E-02
    0.21058E-02    0.75090E-02
    0.23252E-02    0.82493E-02
    0.25675E-02    0.90604E-02
    0.28349E-02    0.99484E-02
    0.31303E-02    0.10919E-01
    0.34564E-02    0.11980E-01
    0.38165E-02    0.13136E-01
    0.42141E-02    0.14395E-01
    0.46532E-02    0.15762E-01
    0.51380E-02    0.17243E-01
    0.56733E-02    0.18840E-01
    0.62643E-02    0.20557E-01
    0.69170E-02    0.22391E-01
    0.76376E-02    0.24339E-01
    0.84333E-02    0.26391E-01
    0.93120E-02    0.28530E-01
    0.10282E-01    0.30732E-01
    0.11353E-01    0.32962E-01
    0.12536E-01    0.35173E-01
    0.13842E-01    0.37306E-01
    0.15284E-01    0.39287E-01
    0.16877E-01    0.41032E-01
    0.18635E-01    0.42445E-01
    0.20577E-01    0.43428E-01
    0.22720E-01    0.43892E-01
    0.25087E-01    0.43767E-01
    0.27701E-01    0.43017E-01
    0.30587E-01    0.41649E-01
    0.33774E-01    0.39726E-01
    0.37293E-01    0.37358E-01
    0.41178E-01    0.34698E-01
    0.45296E-01    0.32029E-01
    0.49413E-01    0.29635E-01
    0.53531E-01    0.27568E-01
    0.57649E-01    0.25823E-01
    0.61767E-01    0.24357E-01
    0.65885E-01    0.23098E-01
    0.70002E-01    0.21963E-01
    0.74120E-01    0.20888E-01
    0.78238E-01    0.19796E-01
    0.82356E-01    0.18667E-01
    0.86473E-01    0.17504E-01
    0.91612E-01    0.16049E-01
    0.96751E-01    0.14657E-01
    0.10189E+00    0.13393E-01
    0.10703E+00    0.12298E-01
    0.11217E+00    0.11386E-01
    0.11731E+00    0.10644E-01
    0.12244E+00    0.10042E-01
    0.12758E+00    0.95362E-02
    0.13272E+00    0.90810E-02
    0.13786E+00    0.86380E-02
    0.14300E+00    0.81842E-02
    0.14814E+00    0.77153E-02
    0.15328E+00    0.72427E-02
    0.15842E+00    0.67853E-02
    0.16356E+00    0.63616E-02
    0.16869E+00    0.59845E-02
    0.17383E+00    0.56590E-02
    0.17897E+00    0.53827E-02
    0.18411E+00    0.51469E-02
    0.18925E+00    0.49390E-02
    0.19439E+00    0.47455E-02
    0.19953E+00    0.45553E-02
    0.20467E+00    0.43621E-02
    0.20980E+00    0.41651E-02
    0.21494E+00    0.39684E-02
    0.22008E+00    0.37776E-02
    0.22522E+00    0.35986E-02
    0.23036E+00    0.34354E-02
    0.23550E+00    0.32894E-02
    0.24064E+00    0.31601E-02
    0.24578E+00    0.30448E-02
    0.25091E+00    0.29395E-02
    0.25605E+00    0.28398E-02
    0.26119E+00    0.27423E-02
    0.26633E+00    0.26449E-02
    0.27147E+00    0.25475E-02
    0.27661E+00    0.24514E-02
    0.28175E+00    0.23582E-02
    0.28689E+00    0.22697E-02
    0.29202E+00    0.21870E-02
    0.29716E+00    0.21107E-02
    0.30230E+00    0.20407E-02
    0.30744E+00    0.19761E-02
    0.31258E+00    0.19158E-02
    0.31772E+00    0.18583E-02
    0.32286E+00    0.18024E-02
    0.32800E+00    0.17474E-02
    0.33313E+00    0.16933E-02
    0.33827E+00    0.16404E-02
    0.34341E+00    0.15891E-02
    0.34855E+00    0.15398E-02
    0.35369E+00    0.14930E-02
    0.35883E+00    0.14487E-02
    0.36397E+00    0.14071E-02
    0.36911E+00    0.13678E-02
    0.37424E+00    0.13307E-02
    0.37938E+00    0.12950E-02
    0.38452E+00    0.12605E-02
    0.38966E+00    0.12268E-02
    0.39480E+00    0.11940E-02
    0.39994E+00    0.11620E-02
    0.40508E+00    0.11310E-02
    0.41022E+00    0.11010E-02
    0.41536E+00    0.10721E-02
    0.42049E+00    0.10445E-02
    0.42563E+00    0.10180E-02
    0.43077E+00    0.99282E-03
    0.43591E+00    0.96866E-03
    0.44105E+00    0.94539E-03
    0.44619E+00    0.92284E-03
    0.45133E+00    0.90092E-03
    0.45647E+00    0.87962E-03
    0.46160E+00    0.85893E-03
    0.46674E+00    0.83883E-03
    0.47188E+00    0.81931E-03
    0.47702E+00    0.80038E-03
    0.48216E+00    0.78208E-03
    0.48730E+00    0.76445E-03
    0.49244E+00    0.74747E-03
    0.49758E+00    0.73109E-03
    0.50271E+00    0.71523E-03
    0.50785E+00    0.69983E-03
    0.51299E+00    0.68487E-03
    0.51813E+00    0.67033E-03
    0.52327E+00    0.65621E-03
    0.52841E+00    0.64247E-03
    0.53355E+00    0.62909E-03
    0.53869E+00    0.61607E-03
    0.54382E+00    0.60342E-03
    0.54896E+00    0.59117E-03
    0.56236E+00    0.56097E-03
    0.59643E+00    0.49316E-03
    0.63256E+00    0.43308E-03
    0.88281E+00    0.20413E-03
    0.12321E+01    0.93868E-04
    0.17195E+01    0.42259E-04
    0.23997E+01    0.18682E-04
    0.33491E+01    0.81299E-05
    0.46741E+01    0.34900E-05
    0.65232E+01    0.14804E-05
    0.91038E+01    0.62136E-06
    0.12705E+02    0.25839E-06
    0.17732E+02    0.10657E-06
    0.24747E+02    0.43628E-07
    0.34537E+02    0.17743E-07
    0.48200E+02    0.71730E-08
    0.67269E+02    0.28842E-08
    0.93881E+02    0.11541E-08
    0.13102E+03    0.45972E-09
    0.18285E+03    0.18238E-09
    0.25519E+03    0.72084E-10
    0.35615E+03    0.28392E-10
    0.49705E+03    0.11147E-10
    0.69369E+03    0.43637E-11
    0.96812E+03    0.17036E-11
    0.13511E+04    0.66333E-12
    0.18856E+04    0.25767E-12
    0.26316E+04    0.99857E-13
