#           k/h    P           
    0.10213E-04    0.18849E-02
    0.11278E-04    0.20732E-02
    0.12454E-04    0.22803E-02
    0.13753E-04    0.25081E-02
    0.15187E-04    0.27586E-02
    0.16770E-04    0.30342E-02
    0.18518E-04    0.33373E-02
    0.20449E-04    0.36706E-02
    0.22581E-04    0.40373E-02
    0.24935E-04    0.44405E-02
    0.27535E-04    0.48841E-02
    0.30406E-04    0.53719E-02
    0.33576E-04    0.59085E-02
    0.37077E-04    0.64987E-02
    0.40942E-04    0.71479E-02
    0.45211E-04    0.78618E-02
    0.49925E-04    0.86471E-02
    0.55130E-04    0.95108E-02
    0.60878E-04    0.10461E-01
    0.67225E-04    0.11506E-01
    0.74234E-04    0.12655E-01
    0.81973E-04    0.13919E-01
    0.90520E-04    0.15309E-01
    0.99958E-04    0.16838E-01
    0.11038E-03    0.18520E-01
    0.12189E-03    0.20370E-01
    0.13460E-03    0.22404E-01
    0.14863E-03    0.24642E-01
    0.16412E-03    0.27103E-01
    0.18124E-03    0.29809E-01
    0.20013E-03    0.32786E-01
    0.22100E-03    0.36060E-01
    0.24404E-03    0.39660E-01
    0.26948E-03    0.43620E-01
    0.29758E-03    0.47974E-01
    0.32860E-03    0.52763E-01
    0.36286E-03    0.58028E-01
    0.40070E-03    0.63818E-01
    0.44247E-03    0.70183E-01
    0.48861E-03    0.77182E-01
    0.53955E-03    0.84875E-01
    0.59580E-03    0.93331E-01
    0.65792E-03    0.10262E+00
    0.72651E-03    0.11284E+00
    0.80226E-03    0.12406E+00
    0.88590E-03    0.13638E+00
    0.97827E-03    0.14990E+00
    0.10803E-02    0.16475E+00
    0.11929E-02    0.18104E+00
    0.13173E-02    0.19890E+00
    0.14546E-02    0.21847E+00
    0.16063E-02    0.23988E+00
    0.17737E-02    0.26331E+00
    0.19587E-02    0.28889E+00
    0.21629E-02    0.31679E+00
    0.23884E-02    0.34716E+00
    0.26374E-02    0.38014E+00
    0.29123E-02    0.41586E+00
    0.32160E-02    0.45443E+00
    0.35513E-02    0.49589E+00
    0.39215E-02    0.54026E+00
    0.43304E-02    0.58745E+00
    0.47819E-02    0.63730E+00
    0.52805E-02    0.68950E+00
    0.58310E-02    0.74363E+00
    0.64389E-02    0.79905E+00
    0.71103E-02    0.85496E+00
    0.78516E-02    0.91038E+00
    0.86702E-02    0.96411E+00
    0.95741E-02    0.10148E+01
    0.10572E-01    0.10609E+01
    0.11675E-01    0.11009E+01
    0.12892E-01    0.11330E+01
    0.14236E-01    0.11555E+01
    0.15720E-01    0.11666E+01
    0.17359E-01    0.11658E+01
    0.19169E-01    0.11505E+01
    0.21168E-01    0.11207E+01
    0.23375E-01    0.10756E+01
    0.25812E-01    0.10177E+01
    0.28503E-01    0.94933E+00
    0.31474E-01    0.87261E+00
    0.34756E-01    0.79218E+00
    0.38380E-01    0.71472E+00
    0.42381E-01    0.64458E+00
    0.46619E-01    0.58732E+00
    0.50857E-01    0.54562E+00
    0.55095E-01    0.51430E+00
    0.59333E-01    0.48898E+00
    0.63571E-01    0.46599E+00
    0.67810E-01    0.44215E+00
    0.72048E-01    0.41548E+00
    0.76286E-01    0.38694E+00
    0.80524E-01    0.35561E+00
    0.84762E-01    0.32436E+00
    0.89000E-01    0.29494E+00
    0.94253E-01    0.26306E+00
    0.99505E-01    0.23774E+00
    0.10476E+00    0.21932E+00
    0.11001E+00    0.20670E+00
    0.11526E+00    0.19786E+00
    0.12052E+00    0.19055E+00
    0.12577E+00    0.18297E+00
    0.13102E+00    0.17402E+00
    0.13627E+00    0.16342E+00
    0.14153E+00    0.15162E+00
    0.14678E+00    0.13952E+00
    0.15203E+00    0.12815E+00
    0.15728E+00    0.11835E+00
    0.16254E+00    0.11059E+00
    0.16779E+00    0.10480E+00
    0.17304E+00    0.10053E+00
    0.17830E+00    0.97220E-01
    0.18355E+00    0.94279E-01
    0.18880E+00    0.91182E-01
    0.19405E+00    0.87571E-01
    0.19931E+00    0.83381E-01
    0.20456E+00    0.78815E-01
    0.20981E+00    0.74185E-01
    0.21506E+00    0.69797E-01
    0.22032E+00    0.65894E-01
    0.22557E+00    0.62618E-01
    0.23082E+00    0.59980E-01
    0.23608E+00    0.57868E-01
    0.24133E+00    0.56100E-01
    0.24658E+00    0.54482E-01
    0.25183E+00    0.52842E-01
    0.25709E+00    0.51070E-01
    0.26234E+00    0.49139E-01
    0.26759E+00    0.47096E-01
    0.27284E+00    0.45028E-01
    0.27810E+00    0.43033E-01
    0.28335E+00    0.41194E-01
    0.28860E+00    0.39564E-01
    0.29385E+00    0.38155E-01
    0.29911E+00    0.36937E-01
    0.30436E+00    0.35859E-01
    0.30961E+00    0.34859E-01
    0.31487E+00    0.33883E-01
    0.32012E+00    0.32889E-01
    0.32537E+00    0.31862E-01
    0.33062E+00    0.30808E-01
    0.33588E+00    0.29751E-01
    0.34113E+00    0.28721E-01
    0.34638E+00    0.27744E-01
    0.35163E+00    0.26841E-01
    0.35689E+00    0.26017E-01
    0.36214E+00    0.25267E-01
    0.36739E+00    0.24579E-01
    0.37264E+00    0.23933E-01
    0.37790E+00    0.23311E-01
    0.38315E+00    0.22700E-01
    0.38840E+00    0.22089E-01
    0.39366E+00    0.21478E-01
    0.39891E+00    0.20871E-01
    0.40416E+00    0.20278E-01
    0.40941E+00    0.19707E-01
    0.41467E+00    0.19164E-01
    0.41992E+00    0.18651E-01
    0.42517E+00    0.18170E-01
    0.43042E+00    0.17718E-01
    0.43568E+00    0.17288E-01
    0.44093E+00    0.16875E-01
    0.44618E+00    0.16473E-01
    0.45143E+00    0.16080E-01
    0.45669E+00    0.15693E-01
    0.46194E+00    0.15313E-01
    0.46719E+00    0.14940E-01
    0.47245E+00    0.14578E-01
    0.47770E+00    0.14230E-01
    0.48295E+00    0.13895E-01
    0.48820E+00    0.13575E-01
    0.49346E+00    0.13268E-01
    0.49871E+00    0.12974E-01
    0.50396E+00    0.12691E-01
    0.50921E+00    0.12416E-01
    0.51447E+00    0.12148E-01
    0.51972E+00    0.11887E-01
    0.52497E+00    0.11631E-01
    0.53023E+00    0.11382E-01
    0.53548E+00    0.11139E-01
    0.54073E+00    0.10902E-01
    0.54598E+00    0.10673E-01
    0.55124E+00    0.10452E-01
    0.55649E+00    0.10238E-01
    0.56174E+00    0.10031E-01
    0.57863E+00    0.94076E-02
    0.61369E+00    0.82648E-02
    0.65087E+00    0.72572E-02
    0.90836E+00    0.34153E-02
    0.12677E+01    0.15687E-02
    0.17692E+01    0.70557E-03
    0.24692E+01    0.31169E-03
    0.34460E+01    0.13556E-03
    0.48093E+01    0.58165E-04
    0.67119E+01    0.24662E-04
    0.93672E+01    0.10348E-04
    0.13073E+02    0.43016E-05
    0.18245E+02    0.17736E-05
    0.25463E+02    0.72585E-06
    0.35536E+02    0.29509E-06
    0.49595E+02    0.11924E-06
    0.69215E+02    0.47910E-07
    0.96597E+02    0.19146E-07
    0.13481E+03    0.76093E-08
    0.18815E+03    0.30059E-08
    0.26258E+03    0.11786E-08
    0.36646E+03    0.45743E-09
    0.51143E+03    0.17502E-09
    0.71376E+03    0.65758E-10
    0.99614E+03    0.24348E-10
    0.13902E+04    0.90776E-11
    0.19402E+04    0.34688E-11
    0.27078E+04    0.13272E-11
