#           k/h    P           
    0.61369E+00    0.38945E-03
    0.65087E+00    0.34197E-03
    0.90836E+00    0.16125E-03
    0.12677E+01    0.74167E-04
    0.17692E+01    0.33396E-04
    0.24692E+01    0.14766E-04
    0.34460E+01    0.64268E-05
    0.48093E+01    0.27592E-05
    0.67119E+01    0.11705E-05
    0.93672E+01    0.49133E-06
    0.13073E+02    0.20433E-06
    0.18245E+02    0.84276E-07
    0.25463E+02    0.34504E-07
    0.35536E+02    0.14033E-07
    0.49595E+02    0.56735E-08
    0.69215E+02    0.22814E-08
    0.96597E+02    0.91288E-09
    0.13481E+03    0.36365E-09
    0.18815E+03    0.14428E-09
    0.26258E+03    0.57023E-10
    0.36646E+03    0.22461E-10
    0.51143E+03    0.88189E-11
    0.71376E+03    0.34524E-11
    0.99614E+03    0.13478E-11
    0.13902E+04    0.52485E-12
    0.19402E+04    0.20389E-12
    0.27078E+04    0.79026E-13
